scaffold	length
LAII01000001.1	15146310
LAII01000002.1	11710420
LAII01000011.1	9587590
LAII01000101.1	3069310
LAII01001001.1	19950
LAII01001002.1	21690
LAII01001003.1	20290
LAII01001004.1	23530
LAII01001005.1	19830
LAII01001006.1	20030
LAII01001007.1	20180
LAII01001008.1	19990
LAII01001009.1	21430
LAII01001010.1	20110
LAII01000102.1	3049690
LAII01001011.1	19690
LAII01001012.1	16200
LAII01001013.1	19120
LAII01001014.1	20600
LAII01001015.1	16340
LAII01001016.1	19570
LAII01001017.1	19290
LAII01001018.1	18800
LAII01001019.1	19180
LAII01001020.1	19980
LAII01000103.1	3037700
LAII01001021.1	18980
LAII01001022.1	19060
LAII01001023.1	18680
LAII01001024.1	18540
LAII01001025.1	18810
LAII01001026.1	19610
LAII01001027.1	18830
LAII01001028.1	18590
LAII01001029.1	18320
LAII01001030.1	18270
LAII01000104.1	3026110
LAII01001031.1	18170
LAII01001032.1	18020
LAII01001033.1	18420
LAII01001034.1	18480
LAII01001035.1	18270
LAII01001036.1	18310
LAII01001037.1	24290
LAII01001038.1	18120
LAII01001039.1	18230
LAII01001040.1	17930
LAII01000105.1	2998400
LAII01001041.1	18050
LAII01001042.1	18180
LAII01001043.1	14360
LAII01001044.1	18020
LAII01001045.1	15280
LAII01001046.1	17730
LAII01001047.1	17960
LAII01001048.1	17840
LAII01001049.1	21090
LAII01001050.1	16940
LAII01000106.1	2996740
LAII01001051.1	18080
LAII01001052.1	17570
LAII01001053.1	17230
LAII01001054.1	17220
LAII01001055.1	14830
LAII01001056.1	11580
LAII01001057.1	17210
LAII01001058.1	17210
LAII01001059.1	16850
LAII01001060.1	16950
LAII01000107.1	2982640
LAII01001061.1	17210
LAII01001062.1	18120
LAII01001063.1	16870
LAII01001064.1	17250
LAII01001065.1	15180
LAII01001066.1	15470
LAII01001067.1	16510
LAII01001068.1	16790
LAII01001069.1	16890
LAII01001070.1	16820
LAII01000108.1	2989180
LAII01001071.1	16790
LAII01001072.1	16650
LAII01001073.1	16550
LAII01001074.1	16390
LAII01001075.1	16710
LAII01001076.1	16540
LAII01001077.1	16460
LAII01001078.1	15990
LAII01001079.1	12200
LAII01001080.1	17290
LAII01000109.1	2965730
LAII01001081.1	16160
LAII01001082.1	16280
LAII01001083.1	23050
LAII01001084.1	13510
LAII01001085.1	13100
LAII01001086.1	16180
LAII01001087.1	15860
LAII01001088.1	15570
LAII01001089.1	16280
LAII01001090.1	16410
LAII01000110.1	2965240
LAII01001091.1	17250
LAII01001092.1	15610
LAII01001093.1	16080
LAII01001094.1	20940
LAII01001095.1	15710
LAII01001096.1	15780
LAII01001097.1	16780
LAII01001098.1	11950
LAII01001099.1	15140
LAII01001100.1	15770
LAII01000012.1	9493980
LAII01000111.1	2934820
LAII01001101.1	14920
LAII01001102.1	15690
LAII01001103.1	15660
LAII01001104.1	15360
LAII01001105.1	23570
LAII01001106.1	14770
LAII01001107.1	15550
LAII01001108.1	16650
LAII01001109.1	15310
LAII01001110.1	15280
LAII01000112.1	2912600
LAII01001111.1	13380
LAII01001112.1	15230
LAII01001113.1	14990
LAII01001114.1	16770
LAII01001115.1	15240
LAII01001116.1	15070
LAII01001117.1	15140
LAII01001118.1	15090
LAII01001119.1	14870
LAII01001120.1	11470
LAII01000113.1	2906530
LAII01001121.1	15100
LAII01001122.1	14980
LAII01001123.1	14690
LAII01001124.1	15040
LAII01001125.1	11440
LAII01001126.1	15070
LAII01001127.1	15070
LAII01001128.1	14860
LAII01001129.1	15680
LAII01001130.1	14710
LAII01000114.1	2891260
LAII01001131.1	14710
LAII01001132.1	14700
LAII01001133.1	13720
LAII01001134.1	11190
LAII01001135.1	14220
LAII01001136.1	15710
LAII01001137.1	14820
LAII01001138.1	14520
LAII01001139.1	14220
LAII01001140.1	14400
LAII01000115.1	2833020
LAII01001141.1	14280
LAII01001142.1	13260
LAII01001143.1	14510
LAII01001144.1	14170
LAII01001145.1	12650
LAII01001146.1	14300
LAII01001147.1	14090
LAII01001148.1	14080
LAII01001150.1	13970
LAII01000116.1	2827380
LAII01001152.1	13860
LAII01001153.1	17090
LAII01001154.1	13700
LAII01001156.1	13670
LAII01001157.1	12570
LAII01001158.1	19120
LAII01001159.1	13530
LAII01001160.1	13560
LAII01000117.1	2817430
LAII01001161.1	13610
LAII01001162.1	13520
LAII01001163.1	13520
LAII01001164.1	13400
LAII01001165.1	13780
LAII01001166.1	13390
LAII01001167.1	13310
LAII01001168.1	13110
LAII01001169.1	13080
LAII01001170.1	13290
LAII01000118.1	2822600
LAII01001171.1	13340
LAII01001172.1	13310
LAII01001173.1	12910
LAII01001174.1	17540
LAII01001175.1	12720
LAII01001176.1	12770
LAII01001177.1	12970
LAII01001178.1	16670
LAII01001179.1	12890
LAII01001180.1	12950
LAII01000119.1	2780530
LAII01001181.1	12840
LAII01001182.1	13850
LAII01001183.1	12730
LAII01001184.1	12640
LAII01001185.1	13720
LAII01001186.1	12770
LAII01001187.1	13410
LAII01001188.1	12860
LAII01001189.1	12670
LAII01001190.1	12490
LAII01000120.1	2771350
LAII01001191.1	12640
LAII01001192.1	12570
LAII01001193.1	12480
LAII01001194.1	12520
LAII01001195.1	12570
LAII01001196.1	12450
LAII01001197.1	15510
LAII01001198.1	12510
LAII01001199.1	12790
LAII01001200.1	11910
LAII01000013.1	9383850
LAII01000121.1	2698780
LAII01001201.1	12410
LAII01001202.1	12390
LAII01001203.1	12320
LAII01001204.1	12430
LAII01001205.1	13490
LAII01001206.1	11850
LAII01001207.1	12260
LAII01001208.1	12590
LAII01001209.1	12120
LAII01001210.1	12210
LAII01000122.1	2700370
